RT @Bipartisanism: Katie Couric just schooled #TedCruz on gay marriage in epic fashion. http://t.co/JtNOPqqOug,STM
RT @stevesilberman: If you missed it: Sick burn. http://t.co/wFmCbB0dBl,EXP
"@jk_rowling & the Never-Ending Story: With a #harrypotter #play ahead, are ""supplementary"" stories still #literature? http://t.co/FjaSWwJySF",QUE
RT @somebadideas: The emotional & personal effects of climate change on the scientists studying it. A fascinating must read. http://t.co/gN\u2026,EXP
RT @jk_rowling: A 9-year-old Nigerian girl has written a book about the effects of terrorism on children http://t.co/3DqI9UaTIZ http://t.co\u2026,STM
"RT @jk_rowling: I don't want to say too much more, because I don't want to spoil what I know will be a real treat for fans. #CursedChild",EXP
@jk_rowling Read The Casual Vacancy. Was hesitant at first but it's a masterpiece. Well done. Influenced my childhood and now adulthood,EXP
"RT @suss2hyphens: First they came for the content producers, and I did not speak up, because of this one weird trick that will shock you",EXP
@jk_rowling did you base Voldemort on IDS?  Is Iain Duncan Smith visibly excited by prospect of hurting the poor? http://t.co/WHO8xaxl0f,QUE
"@jk_rowling I have a question about Harry. When Voldemort kills the horcux that was inside of Harry, does Harry still speak parseltongue?",QUE
@jk_rowling does Harry see the Grim in his  teacup in Prisoner of Azkaban just because of Sirius or also because he becomes Master of Death?,QUE
@jk_rowling WHAT ABOUT US - THOSE WHO LIVE OUTSIDE EUROPE?! How will we watch the PLAY? :(,QUE
@jk_rowling proud to pick this from the library. It's going to be a good night Love from India. Also I want to be you http://t.co/oqnvg3RP6F,EXP
"RT @jk_rowling: @davieclegg I'm sure you'll love it. (I've given up. Call it whatever the hell you want, just don't blame me when you don't know",EXP
RT @jk_rowling: Harry and I both thank you for your birthday wishes xxx,EXP
RT @jk_rowling: .@claraoswiin But of course. http://t.co/Galu47MT4X,OTH
RT @wjxt4: JUST IN: Walt Disney World confirms it will remove the statue of Bill Cosby from Hollywood Studios http://t.co/yTTEwgvoIh,STM
"@jk_rowling ""It's not a prequel""...  Beautiful words",EXP
@jk_rowling QOTD: A character you wish you didn't killed him/her...,STM
@jk_rowling Is it true that you can write with your toes? That's so cool !,EXP
@jk_rowling Hope you might find this breakneck-speed summary of Scotland's economy of some interest https://t.co/bXSQhKxjC8,SUG
@jk_rowling will you come help me move this weekend,QUE
@jk_rowling are you really working on a new Harry potter's book? please answer me! I love you,QUE
@jk_rowling look how much the Hachette interns want you to visit! Cc: @joolielin http://t.co/uebeprLvot,STM
@jk_rowling write more harry potter books please,REQ
@jk_rowling I'm having trouble starting my first book which I'm writing. I built up so much material that I don't know where to start #advice,STM
RT @jk_rowling: Today I would just like to say: I'm really sorry about Fred. *Bows head in acceptance of your reasonable ire*,EXP
@jk_rowling @setzcarlee we will b there,EXP
"@jk_rowling Is the Ring of Power kind of like a Horcrux, binding Sauron's soul to Middle Earth? #bookcrossover #fanconfusion",QUE
@jk_rowling Reading is fun & mental http://t.co/MlpTlZU7Op http://t.co/UMr9FfWb5t,EXP
@jk_rowling sending massive amounts of love ur way #IhopeThisMadeYouSmile,EXP
@jk_rowling I'm a big fan of Regulus. Could you please tell me how was he? How was his childhood? We know so little about him... Thanks!,QUE
RT @jk_rowling: .@kitkittybot Because Brazilians are wonderful.,EXP
"RT @jk_rowling: I can't remember whether I've mentioned this, but Harry Potter & the #CursedChild isn't a prequel.",STM
"RT @jk_rowling: It has been a huge pleasure to share with them (and soon, with you!) this untold part of Harry's story. #CursedChild",EXP
@jk_rowling #harrypotterforever Just received a piece of childhood as a gift. My own patronus. http://t.co/Lz84yOTdLt,STM
@jk_rowling I love HP but this is good too. https://t.co/rCbRi4sO27,EXP
@jk_rowling  every year the first of September is a monday. Why?,QUE
RT @miss9afi: Thanks A Lot Mr.@SalmanRushdie For Supporting My Husband @raif_badawi http://t.co/AJ84O8OCZJ,EXP
@jk_rowling Look what I drew! http://t.co/cqETEziRgf,EXP
"RT @jk_rowling: .@cIaricestarling ""what are you doing in a parallel universe?"" I'm Zayn Malik.",QUE
"@jk_rowling what was the impact of ""Life n lies of AD"" on the wizarding world? Did Harry try to do anything about it?",QUE
"RT @Kantrowitz: TV now being used as punishment for kids. That's it folks, it's all over. (via @corybe): http://t.co/FE07GkKR6w http://t.co\u2026",EXP
@jk_rowling Good Afternoon,EXP
@jk_rowling can you tell us more about Tom Riddle/Voldemort's family?,QUE
@jk_rowling NEWS OF #fantasticbeasts ?,QUE
@jk_rowling please tell me this happened http://t.co/xPW9g2bPKw,REQ
@jk_rowling  why the twins never realized the name Pedro Petigrew side of Ron in the Marauder's Map?,QUE
@jk_rowling  in HPADH Pt1 why do all the characters become HP who is a target when drinking pollyjuice and not HP become someone else,QUE
RT @jk_rowling: That just turns Albus's motto into Aberforth's. https://t.co/uLywdiCE0I,STM
"@jk_rowling write something as amazing as Harry Potter, please. Pretty please. I beg you.",REQ
"@jk_rowling Rowling, it wasn't a dream! I had dreamed of a new chapter last week, so it was! #HarryPotter *-* Thank you so much Rowling!",EXP
@jk_rowling  It is possible to place a book on the first witch war? Please answer this question from a Brazilian fan,QUE
@jk_rowling Excited for the 'expansion' for your world in fantastic beast :). I get it right?,EXP
RT @BoingBoing: This week's Hip Hop Family Tree: @beastieboys Rock Hard. http://t.co/NBLy46Vml1 @DefJamRecords http://t.co/LU8dU6oNkj,OTH
@jk_rowling you're my heroine.,EXP
